13630577991	6960	690	7650
13682846555	8898	3600	12498
13729199489	240	0	240
13736230513	2721	24681	27402
13768778790	2841	24801	27642
13846544121	264	0	264
13956435636	132	1512	1644
13966251146	372	1512	1884
13975057813	11430	49755	61185
13992314666	14438	53475	67913
13470253144	180	180	360
13509468723	7515	110529	118044
13560439638	8433	115467	123900
13568436656	12030	141102	153132
13590439668	13146	142056	155202
15043685818	16805	145594	162399
15910133277	19961	148530	168491
15959002129	21899	148710	170609
18271575951	23426	150816	174242
18390173782	32957	153228	186185
84188413	37073	154660	191733
84188413	37073	154660	191733
